,file_path,sentence,section,0,0_span,weight_0
1050,/content/fin_climate_justice/PMC11550006/sections/2_body/2_discussion/3_p.xml,"This responsibility attribution contrasts with the assessment of vulnerability to climate migration, which points to developing economies in the Global South (such as Bangladesh, Haiti, Cambodia, Lao PDR, Madagascar, Myanmar, Mozambique, Niger, Sudan, and Somalia, selected as the top 10 most vulnerable counties) as those whose populations are more likely to suffer the consequences of climate change.",DIS,"Somalia, Sudan, Mozambique, Cambodia, Bangladesh, Madagascar, Haiti, Niger, Myanmar","(256, 263), (245, 250), (226, 236), (186, 194), (167, 177), (205, 215), (179, 184), (238, 243), (217, 224)",9
1076,/content/fin_climate_justice/PMC10686209/sections/2_body/1_results_and_discussion/1_p.xml,"Whereas the Milan route utilises rail mostly in France, where electricity is very carbon cheap, the Istanbul route spends considerable distance in Bulgaria, which has one of the highest emission factors per kWh in Europe.",DIS,"France, Bulgaria","(48, 54), (147, 155)",2
1077,/content/fin_climate_justice/PMC10686209/sections/2_body/1_results_and_discussion/1_p.xml,"Romania and Bulgaria also carry far fewer passengers per kWh spent, compounding this effect.",DIS,Bulgaria,"(12, 20)",1
1098,/content/fin_climate_justice/PMC10686209/sections/2_body/1_results_and_discussion/6_a_brief_history_of_carbon-neut/1_p.xml,Offsetting initiatives have also varied significantly: COP 24 in Katowice offset its entire carbon footprint through afforestation projects in Poland  41 ; COP 25 in Madrid bought Certified Emission Reductions (CERs) through the EU Emissions Trading Scheme  42 ; and COP 26 narrowed this to purchasing mostly CERs or voluntary emission reductions (VERs) with co-benefits defined by the UN’s SDGs.,DIS,Poland,"(143, 149)",1
1126,/content/fin_climate_justice/PMC10686209/sections/2_body/1_results_and_discussion/7_cop__carbon_accounting_and_cli/1_p.xml,"In 2016, Morocco used the opportunity as host nation to shine a spotlight on increasing water scarcity.",DIS,Morocco,"(9, 16)",1
1468,/content/fin_climate_justice/PMC11245781/sections/2_body/3_discussion/10_limitations/1_p.xml,"This includes in Western Australia where the commercial and political contexts, including the presence of Australia’s mining industry, may influence children’s knowledge and perspectives.",DIS,Australia,"(25, 34)",1
1608,/content/fin_climate_justice/PMC11127834/sections/2_body/3_discussion/6_p.xml,"This clearly emerged from our analysis:  A. albopictus  is almost not managed in Southern Italy, the poorest part of the country (Fig.",DIS,Italy,"(90, 95)",1
1616,/content/fin_climate_justice/PMC11127834/sections/2_body/3_discussion/6_p.xml,4 Spatial distribution of economic/material deprivation in Italy and its relationship to the management of  A. albopictus .,DIS,Italy,"(59, 64)",1
1637,/content/fin_climate_justice/PMC11127834/sections/2_body/3_discussion/7_p.xml,"The European Union is characterized by pronounced territorial inequalities (Iammarino et al.,  2019 ), and in line with our conclusions about  A. albopictus  in Italy, some of its poorer member states are already failing to implement provisions of the first European regulation about invasive alien species (Regulation (EU) No 1143/2014  https://ec.europa.eu/commission/presscorner/detail/en/inf_21_2743 ), eight years after its enter-into-force.",DIS,Italy,"(161, 166)",1
1639,/content/fin_climate_justice/PMC11127834/sections/2_body/3_discussion/3_p.xml,"However, these results also indicate the absence of a proactive control strategy in Italy, since mosquitoes are controlled in areas with a more extended infestation period (H 2 ), and not before they become well-established.",DIS,Italy,"(84, 89)",1
1677,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/3_comparison_with_existing_model/2_p.xml,"29  presents an EO-based ML model, which overlaps with our study area in Malawi and Kenya.",DIS,"Malawi, Kenya","(75, 81), (86, 91)",2
1678,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/3_comparison_with_existing_model/2_p.xml,"Their end of season yield estimates have a MAPE of around 0.3 for Malawi and 0.5 for Kenya, somewhat comparable to the RRMSE of 25–30% by the RF-H model of this study.",DIS,"Malawi, Kenya","(66, 72), (85, 90)",2
1679,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/3_comparison_with_existing_model/2_p.xml,Other maize models at county level for Eastern Africa also found an overestimation of modeled yields in low-yielding regions in Kenya and Malawi  29   9 .,DIS,"Malawi, Kenya","(138, 144), (128, 133)",2
1681,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/4_limitations_and_future_work/2_p.xml,"Firstly, during co-development workshops in Zambia it was noted that the ministry of agriculture official maize yield statistics did not consider green maize harvested early for sale in markets, those used for silage, and for commercial seed production.",DIS,Zambia,"(44, 50)",1
1692,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/4_limitations_and_future_work/2_p.xml,"Nonetheless, it was interesting to note that the hybrid model was also able to make accurate predictions in areas dominated by small-scale farmers like the western regions of Kenya.",DIS,Kenya,"(175, 180)",1
1700,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/2_model_performance/2_p.xml,RF-H model elucidates the fact through an overall best performance in most administrative level 1 (counties in Kenya and districts in Malawi and Zambia) in all countries.,DIS,"Zambia, Malawi, Kenya","(145, 151), (134, 140), (111, 116)",3
1707,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/2_model_performance/4_p.xml,This also affected the short rains season of 2016 in Kenya with the rains beginning later than normal and below-average rainfall reported  40 .,DIS,Kenya,"(53, 58)",1
1708,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/2_model_performance/4_p.xml,"Since the short rains are one of two cropping seasons in Kenya, it is reasonable that the modeled yields for 2016 do not show deficits as strongly as in Malawi and Zambia.",DIS,"Zambia, Malawi, Kenya","(164, 170), (153, 159), (57, 62)",3
1709,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/2_model_performance/4_p.xml,"For Malawi and Zambia, the greatest deficit of modeled yields occurs in the south of each country.",DIS,"Zambia, Malawi","(15, 21), (4, 10)",2
1712,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/2_model_performance/3_p.xml,"In Zambia for instance, both RHEAS and the machine learning models tend to overestimate yields for the southwestern districts.",DIS,Zambia,"(3, 9)",1
1714,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/2_model_performance/3_p.xml,"For Malawi, RHEAS generally overestimates yields most for the southern districts.",DIS,Malawi,"(4, 10)",1
1715,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/2_model_performance/3_p.xml,"In Kenya, RHEAS overestimated yields mostly for eastern counties, where there is generally less rainfall and agricultural land, and lower overall yields.",DIS,Kenya,"(3, 8)",1
1717,/content/fin_climate_justice/PMC11283090/sections/2_body/3_discussion/2_model_performance/3_p.xml,"Spatial patterns for ubRMSE are similar between the RHEAS and RF-VI models, with higher ubRMSE in southwestern Kenya, southern Zambia, and a few districts distributed throughout Malawi.",DIS,"Zambia, Malawi, Kenya","(127, 133), (178, 184), (111, 116)",3
1781,/content/fin_climate_justice/PMC10706456/sections/2_body/3_4._discussion/2_p.xml,"Our data reveal significant correlations between alcohol consumption and the prevalence of intimate partner violence in Uganda, Zimbabwe, and Mozambique, corroborating previous research while revealing variations in the impact of these factors across countries  68 , 69 , 70 , 71 .",DIS,"Uganda, Mozambique, Zimbabwe","(120, 126), (142, 152), (128, 136)",3
1783,/content/fin_climate_justice/PMC10706456/sections/2_body/3_4._discussion/2_p.xml,"Only in Uganda, the odds of intimate partner violence decreased with higher levels of education at a statistically significant level (OR = 0.72, 95% CI: 0.55–0.93).",DIS,Uganda,"(8, 14)",1
1784,/content/fin_climate_justice/PMC10706456/sections/2_body/3_4._discussion/2_p.xml,"Though reports of violence in Zimbabwe or Mozambique were lower with higher levels of education, these results did not hold significance.",DIS,"Mozambique, Zimbabwe","(42, 52), (30, 38)",2
1793,/content/fin_climate_justice/PMC10706456/sections/2_body/3_4._discussion/4_p.xml,"In countries such as Uganda, Zimbabwe, and Mozambique, where a significant portion of the population is engaged in agricultural activities, individuals who work as subsistence farmers or sell surplus crops at local markets face severe financial repercussions in the event of crop failure.",DIS,"Uganda, Mozambique, Zimbabwe","(21, 27), (43, 53), (29, 37)",3
1803,/content/fin_climate_justice/PMC10706456/sections/2_body/3_4._discussion/1_p.xml,"Intimate partner violence occurs at a global rate of 33%, with Uganda (60.5%), Zimbabwe (36.6%), and Mozambique (43.2%) all having greater rates than the global norm  61 , 67 .",DIS,"Uganda, Mozambique, Zimbabwe","(63, 69), (101, 111), (79, 87)",3
1804,/content/fin_climate_justice/PMC10706456/sections/2_body/3_4._discussion/1_p.xml,"In all three countries, extreme weather events were found to be linked with an increase in the reporting of intimate partner violence in Uganda (OR = 1.23, 95% CI: 1.09–1.38), in Zimbabwe (OR = 1.28, 95% CI: 1.09–1.51), and in Mozambique (OR = 1.91, 95% CI: 1.64–2.23).",DIS,"Uganda, Mozambique, Zimbabwe","(137, 143), (227, 237), (179, 187)",3
